,Job Title,Number of Openings
0,Data Analyst,424
1,Data Engineer,215
2,Data Scientist,519
3,Machine Learning Scientist,26
4,Data Architect,205
5,Big Data Software Engineer,8
6,Machine Learning Engineer,110
7,Business Intelligence Analyst,83
8,Business Intelligence Developer,100
9,Business Systems Analyst,210
10,Logistics Analyst,45
11,IT Systems Analyst,19
12,Marketing Analyst,124
13,Data Warehouse Manager,11
14,Database Administrator,249
15,Database Manager,23
16,Data Modeler,55
17,Quantitative Analyst,41
18,Statistician,57
19,Data Storyteller,1
