Job Title,Company Name,Location,Salary,Description,link
Junior Database Administrator,"Baker Tilly US, LLP","Madison, WI 53718•Remote",,"Overview:

Baker Tilly US, LLP (Baker Tilly) is a leading advisory, tax and assurance firm, providing clients a genuine coast-to-coast and global advantage with critical mass and top-notch talent in major regions of the U.S. and in many of the world’s leading financial centers – New York, London, San Francisco, Los Angeles and Chicago. Baker Tilly is an independent member of Baker Tilly International, a worldwide network of independent accounting and business advisory firms in 148 territories, with 36,000 professionals and a combined worldwide revenue of $4.0 billion.
Many of Baker Tilly’s roles have the opportunity to work remotely. Please discuss with your talent acquisition professional to understand the requirements for an opportunity you are exploring.
Baker Tilly is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status, gender identity, sexual orientation, or any other legally protected basis, in accordance with applicable federal, state or local law.
Responsibilities:

The Junior Database Administrator is responsible for implementation, maintenance, testing and support of firm-wide databases and applications, primarily related to Baker Tilly Time and Billing System (STAR). This includes analyzing, developing and managing requests for modifications and enhancements to the database structure for these applications. Also responsible for supporting the application development team with database changes, queries, and reports, as well as working with the Technical Services Team on maintenance updates to the database servers.
Primary Duties and Responsibilites:
Responsible for the infrastructure and architecture for all database systems and related subsystems. This includes the definition of backup strategies and maintenance plans, patch management procedures and disaster recovery procedures and processes. In addition, this role is responsible for system performance maintenance and data integrity.
Responsible for the development of enhancements and modifications to the database systems used by the firm. This includes the development of custom level queries, SSIS packages, reports and actual system development work as needed, including enhancement estimates.
Assist in Reporting team initiatives through identifying end user requirements, development, testing and support of reports, data warehouses and data analysis.
Provide firm-wide support for all custom-built applications. Additionally, provide second level support for STAR. Fill in as primary support person as needed.
Assist other Baker Tilly IT personnel with problem resolution as needed. This can include firm-wide issues, as well as region specific problems.
Conduct briefings and demonstrations for users to enhance systems productivity. May be called upon to assist in the development of training coursework and materials as well as performing the actual training.
Maintain technical knowledge by attending technical education, attending workshops, reading publications and pursuing technical certifications.
Maintain and comply with quality service by following organization’s technological standards. Document procedures
Research new technologies and applications that can improve the quality, performance or functionality of database applications used firm-wide.
All other duties as assigned.
Qualifications:
Bachelors degree required.
1 to 3 years of related work experience required.
Bachelor’s degree in related field.
SQL Server Administration.
SQL programming/SQL Database.
SQL Server Reporting Services.
SQL Server Analysis Services.
Experience in .NET programming (ASP.NET, VB.NET, C#).
Experience with SQL Server Integration Services.",https://www.indeed.com/rc/clk?jk=796e60aafb41ccbe&fccid=1bfec2a2f61dd5c2&vjs=3
Cloud Database Architect,NR Consulting LLC,"Orlando, FL•Temporarily Remote",,"Job Title: Cloud Database Architect

Location: Orlando, FL
Duration: 12 + months

Is remote option available during COVID: Yes

Job Description:

Reference Architectures for large database footprints using automation to build consistent images and processes for DBAs. (Maria/MySQl/Aurora)

7+ years' experience in Python development and should have excellent database administration concept.
Excellent knowledge of Python coding.
Select the appropriate AWS service based on compute, data, or security requirements.
Experience with Version Control System like GitHub.
Experience with Chef configuration management and migrations.

Deploy, manage, and operate scalable, highly available, and fault-tolerant Database on AWS
Investigate, troubleshoot, and resolve Database products.",https://www.indeed.com/rc/clk?jk=f107a3ac7006a631&fccid=3800c35bb29ac508&vjs=3
SQL Server Database Administrator III,Innovative Turnaround Controls Ltd,Texas,$83 - $88 an hour,"We are seeking a Senior SQL Server Database Administrator responsible for managing multiple databases supporting complex enterprise applications in production and non-production environments. Further this position is responsible for providing database schema architectural vision and design, driving efficiency efforts and operational improvements of performance, integrity and security of critical database implementations to meet business needs.
ResponsibilitiesImplement conceptual design to physical database implementation, enhance and refine the logical design of the database.Work closely with Infrastructure Technology database management team and application development teams to ensure database operational continuity, availability, integrity, recovery, and security.Develop and maintain policies and procedures for ensuring secure access to production system information.Monitor databases for optimal performance and acts to mitigate blocking and performance tuning issues.Provide guidance to Application Development staff for query, stored procedures, functions and database design.Analyze large, complex systems to determine performance bottlenecks, application bugs, and opportunities to improve efficiency.Baseline system performance and monitor for deviation, recommending and implementing improvements to slow running queries.Document database architecture, configuration settings, baseline performance metrics and planned and unplanned outages. Bachelor’s degree in computer science, computer engineering, a related field, or equivalent database administration experience10+ years of proven track record in database administration including mastery of Microsoft SQL Server, SQL, ETL processes and tools, stored procedures and functions.Advanced skills in managing MS SQL Server instances used with SSIS, SSAS and SSRS.Proven experience in logical database design, query and index tuning, relational database security design concepts, reporting systems, and data modeling.Act as a reference point for others on database schema design, SQL coding and related tools.Effective verbal and written communication skills to recommend technical processes, explain technical procedures, and negotiate resolution of work issues.Proven ability to work independently to coordinate and solve moderately complex technical data management issues.Strong analytical and troubleshooting skills.
6 Month Contract Position (No Perdiem)
Projected Start Date: 12/06/21
***Must be On Site for work*** (No Remote)",https://www.indeed.com/rc/clk?jk=c14a06d3a98aba53&fccid=b8a1843544e1674b&vjs=3
SENIOR DATABASE ADMINISTRATOR,DraftKings,Illinois,,"SOFIA, BG | TEL AVIV, IL | KYIV, UA | PLOVDIV, BG
ENGINEERING
21.F1A
FULL TIME
BUILDING THE POSSIBILITIES.

DraftKings is growing quickly and we’re looking for a Senior DBA centered around the mission of providing a best-in-class experience for our products and customers. This position requires strong technical skills and a bias toward collaboration. You will be working across teams, informing business decisions, and helping to expand our software platform.
WHAT YOU'LL DO AS A SENIOR DBA:
Maintaining, monitoring, and securing the organization's production and non-production of PostgreSQL / MS SQL / MongoDB databases, in high-volume/multi-instance environments, utilizing state of the art concepts and employing leading-edge maintenance techniques to maximize application availability.
Actively monitor the health, performance, and integrity of all databases and proactively take corrective actions as necessary.
Defining and implementing an effective database backup strategy.
Defining and implementing an effective data retention strategy.
Participating in the assessment and implementation of all database-related tools or other 3rd-party products and in the migration and testing required to move to more recent versions of PostgreSQL / MS SQL / MongoDB as they are released.
Providing on-call support for production environments on a shared DBA rotation.
Providing 24/7 support for various activities including Database maintenance, Application Releases, Application Database upgrades, DBMS upgrades, and Disaster Recovery.

WHAT YOU’LL BRING:
Good knowledge and experience of PostgreSQL infrastructure and capabilities
Good knowledge and experience of MongoDB infrastructure topology is an advantage
Good knowledge in MS SQL 2016 and related product technologies AlwaysON/HA, Replication, Log shipping, etc. is an advantage.
Experience in troubleshooting and resolving database integrity issues, performance issues, blocking and deadlocking issues, connectivity issues, security issues, etc.
Knowledge of indexes, index management, and statistics.
Experience in Performance Tuning, Query Optimization, and other related monitoring and troubleshooting tools.
Analytical ability, strong judgment, and the ability to work effectively with IT, management, and staff.
Ability to effectively communicate with users in written or verbal form.
General knowledge in the following areas: IT concepts, strategies, and methodologies, architectures and technical standards, database administration tools and utilities, backup and recovery, storage subsystems, and replication concepts.
Code writing skills in one or more of the following languages: tsql, python, ansible, Powershell.

#LI-IA1

WHO ARE WE A GOOD FIT FOR?
We love working with talented people but more than that, we seek out compassionate co-workers with a collaborative spirit. Our work moves quickly and we’re great at coming together to find creative solutions to some of tech’s most interesting problems. If that sounds good to you, join us.

WE ARE DRAFTKINGS.

We’re inspired by our shared passion for developing creative solutions to complex challenges and empowering the people around us to do their best work. We are industry leaders in the digital entertainment and technology space propelled by constant curiosity and diverse perspectives.

Our teams are fueled by innovation. We are looking ahead, building what’s next, and continuously reinventing the industry. We’re a publicly traded (NASDAQ: DKNG) technology company headquartered in Boston, with teams around the world and an expanding global presence.

JOIN US!

We strive to create a place where all feel safe, empowered, engaged, championed, and inspired. DraftKings is proud to be an equal opportunity employer. This means we do not tolerate discrimination of any kind and are committed to providing equal employment opportunities regardless of your gender identity, race, nationality, religion, sexual orientation, status as a protected veteran, or status as an individual with a disability.

READY TO BUILD WHAT’S NEXT? APPLY NOW.

As a regulated gaming company, you may be required to obtain a gaming license issued by the appropriate state agency as a condition of employment.",https://www.indeed.com/rc/clk?jk=3a947e5bc5036699&fccid=2b2d6f212948082d&vjs=3
Sr Database Administrator,The Walt Disney Company (Corporate),"Orlando, FL",,"Job Summary:
The Sr. DBA position works on a central team of Database Systems Engineers and Administrators supporting DBMS for Disney Connected, Advanced Technologies and corporate development teams and customers. Primary focus of this position will be Database support and service of operational and business processes for internet sites and corporate applications for The Walt Disney Company. Key responsibilities include DB technology evaluation, guidance and consultation, design support, task automation and scripting, best practice and standards development, capacity planning, optimization and tuning, system upgrades and migrations, performance management, monitoring, security, backup and recovery, issue troubleshooting, and documentation. Additional tasks as assigned.

Responsibilities:
Responsible for level 1 systems management and exercises project-level control over initiatives. Excellent technical expertise in relevant state of the art database technologies, stores, systems, and design. Carries out assignments with minimal coaching and guidance from others. Develops, enhances and adheres to engineering and administration standards. Upholds and maintains strong documentation.

The ideal candidate will have experience with Pubic Cloud providers like AWS and Azure and 4-6 years experience with DB2. Oracle and/or SQL Server experience is a plus.

Basic Qualifications:
4-6 years experience with DB2 is strongly preferred. Oracle and/or SQL Server experience, or similar relational database systems, is a plus.
4-6 years’ experience with Linux Server platforms and/or Windows Server
4-6 years’ experience with relevant scripting languages or programming frameworks desired (NodeJS, JavaScript, Python, Perl, C, windows script; PowerShell, sh, korne, bash)
Expertise in relational database administration including configuration, implementation, data modeling, maintenance, redundancy/HA/DR, security, troubleshooting/performance tuning, upgrades, database, data and server migrations, SQL
2 or more years of IT operational experience supporting robust e-commerce, gaming or online businesses in a 24X7 production environment (on call)
Thorough understanding in Security implementations (IAM, SSL, encryption, firewall, wall garden) on Database, storage, network and Cloud environments. Participated in auditing exercise
Knowledge in 1 or more Cloud Platforms including but not limited to: AWS, Azure, GCP, Oracle Cloud and hybrid cloud environments
Knowledge in Monitoring, Alerting tools such as Datadog, Cloudwatch, OEM, Quest
Expertise in configuring, implementing and supporting high availability redundancy strategies on systems including replication, clustering, log shipping, mirroring
Expertise in database design and architectural principles and methodologies
Expertise with Disaster Recovery planning and implementation
Experience with Linux system administration, configuration, troubleshooting, performance tuning, and security procedures; experience with Windows desired
Excellent knowledge of hardware, storage, RAID, and disk subsystems technologies as they pertain to DBMS systems, experience with SAN technologies highly desired
Excellent systems documentation and system diagraming skills
Experience with project management methodologies and handling complex projects
Ability to partner with relevant software vendors to determine near-term, long-term business impacts of product updates on our technology portfolio
Demonstrated experience with troubleshooting systems issues and effectively diagnosing problems
Knowledge of understanding of TCP/IP fundamentals (DNS, SSH), general networking technologies, AWS networking (VPC, security group), network architecture and connectivity troubleshooting
Preferred Qualifications:
Leads and completes tasks independently, with attention to detail and while under pressure
Excellent judgment, problem resolution, negotiation, and decision-making skills as well as the ability to work under continual deadline pressure
Identifies, analyzes, and drives problems to resolution, handling complex issues simultaneously while effectively communicating across teams
Builds team relationships across the organization
Effectively communicates technical actions and expectations to the appropriate audience
Delivers customer service excellence by knowing customer’s business needs, identifying appropriate technical solutions, and meeting/exceeding service expectations
Knowledge in 1 or more relevant areas including but not limited to: Cloud Computing, Internet Security, Hardware systems, Networking systems, Storage technologies, Data Warehouse/Business Intelligence, Data Center Facilities, Ecommerce platforms are desired
Required Education
Degree in computer science/information systems, engineering or related field required.

Preferred Education
Bachelor of Science in computer science/information systems, engineering or related field preferred.",https://www.indeed.com/rc/clk?jk=1a01ae9f4d1a8da8&fccid=4ed80f3a97849f22&vjs=3
Sr Database Administrator,The Walt Disney Company (Corporate),"Orlando, FL",,"Job Summary:
The Sr. DBA position works on a central team of Database Systems Engineers and Administrators supporting DBMS for Disney Connected, Advanced Technologies and corporate development teams and customers. Primary focus of this position will be Database support and service of operational and business processes for internet sites and corporate applications for The Walt Disney Company. Key responsibilities include DB technology evaluation, guidance and consultation, design support, task automation and scripting, best practice and standards development, capacity planning, optimization and tuning, system upgrades and migrations, performance management, monitoring, security, backup and recovery, issue troubleshooting, and documentation. Additional tasks as assigned.

Responsibilities:
Responsible for level 1 systems management and exercises project-level control over initiatives. Excellent technical expertise in relevant state of the art database technologies, stores, systems, and design. Carries out assignments with minimal coaching and guidance from others. Develops, enhances and adheres to engineering and administration standards. Upholds and maintains strong documentation.

The ideal candidate will have experience with Pubic Cloud providers like AWS and Azure and 4-6 years experience with DB2. Oracle and/or SQL Server experience is a plus.

Basic Qualifications:
4-6 years experience with DB2 is strongly preferred. Oracle and/or SQL Server experience, or similar relational database systems, is a plus.
4-6 years’ experience with Linux Server platforms and/or Windows Server
4-6 years’ experience with relevant scripting languages or programming frameworks desired (NodeJS, JavaScript, Python, Perl, C, windows script; PowerShell, sh, korne, bash)
Expertise in relational database administration including configuration, implementation, data modeling, maintenance, redundancy/HA/DR, security, troubleshooting/performance tuning, upgrades, database, data and server migrations, SQL
2 or more years of IT operational experience supporting robust e-commerce, gaming or online businesses in a 24X7 production environment (on call)
Thorough understanding in Security implementations (IAM, SSL, encryption, firewall, wall garden) on Database, storage, network and Cloud environments. Participated in auditing exercise
Knowledge in 1 or more Cloud Platforms including but not limited to: AWS, Azure, GCP, Oracle Cloud and hybrid cloud environments
Knowledge in Monitoring, Alerting tools such as Datadog, Cloudwatch, OEM, Quest
Expertise in configuring, implementing and supporting high availability redundancy strategies on systems including replication, clustering, log shipping, mirroring
Expertise in database design and architectural principles and methodologies
Expertise with Disaster Recovery planning and implementation
Experience with Linux system administration, configuration, troubleshooting, performance tuning, and security procedures; experience with Windows desired
Excellent knowledge of hardware, storage, RAID, and disk subsystems technologies as they pertain to DBMS systems, experience with SAN technologies highly desired
Excellent systems documentation and system diagraming skills
Experience with project management methodologies and handling complex projects
Ability to partner with relevant software vendors to determine near-term, long-term business impacts of product updates on our technology portfolio
Demonstrated experience with troubleshooting systems issues and effectively diagnosing problems
Knowledge of understanding of TCP/IP fundamentals (DNS, SSH), general networking technologies, AWS networking (VPC, security group), network architecture and connectivity troubleshooting
Preferred Qualifications:
Leads and completes tasks independently, with attention to detail and while under pressure
Excellent judgment, problem resolution, negotiation, and decision-making skills as well as the ability to work under continual deadline pressure
Identifies, analyzes, and drives problems to resolution, handling complex issues simultaneously while effectively communicating across teams
Builds team relationships across the organization
Effectively communicates technical actions and expectations to the appropriate audience
Delivers customer service excellence by knowing customer’s business needs, identifying appropriate technical solutions, and meeting/exceeding service expectations
Knowledge in 1 or more relevant areas including but not limited to: Cloud Computing, Internet Security, Hardware systems, Networking systems, Storage technologies, Data Warehouse/Business Intelligence, Data Center Facilities, Ecommerce platforms are desired
Required Education
Degree in computer science/information systems, engineering or related field required.

Preferred Education
Bachelor of Science in computer science/information systems, engineering or related field preferred.",https://www.indeed.com/rc/clk?jk=1a01ae9f4d1a8da8&fccid=4ed80f3a97849f22&vjs=3
Database Administrator,Virginia Dept of Social Services,"Richmond, VA 23219 (Central Office area)","$105,000 - $125,000 a year","Overview:

Baker Tilly US, LLP (Baker Tilly) is a leading advisory, tax and assurance firm, providing clients a genuine coast-to-coast and global advantage with critical mass and top-notch talent in major regions of the U.S. and in many of the world’s leading financial centers – New York, London, San Francisco, Los Angeles and Chicago. Baker Tilly is an independent member of Baker Tilly International, a worldwide network of independent accounting and business advisory firms in 148 territories, with 36,000 professionals and a combined worldwide revenue of $4.0 billion.
Many of Baker Tilly’s roles have the opportunity to work remotely. Please discuss with your talent acquisition professional to understand the requirements for an opportunity you are exploring.
Baker Tilly is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status, gender identity, sexual orientation, or any other legally protected basis, in accordance with applicable federal, state or local law.
Responsibilities:

The Junior Database Administrator is responsible for implementation, maintenance, testing and support of firm-wide databases and applications, primarily related to Baker Tilly Time and Billing System (STAR). This includes analyzing, developing and managing requests for modifications and enhancements to the database structure for these applications. Also responsible for supporting the application development team with database changes, queries, and reports, as well as working with the Technical Services Team on maintenance updates to the database servers.
Primary Duties and Responsibilites:
Responsible for the infrastructure and architecture for all database systems and related subsystems. This includes the definition of backup strategies and maintenance plans, patch management procedures and disaster recovery procedures and processes. In addition, this role is responsible for system performance maintenance and data integrity.
Responsible for the development of enhancements and modifications to the database systems used by the firm. This includes the development of custom level queries, SSIS packages, reports and actual system development work as needed, including enhancement estimates.
Assist in Reporting team initiatives through identifying end user requirements, development, testing and support of reports, data warehouses and data analysis.
Provide firm-wide support for all custom-built applications. Additionally, provide second level support for STAR. Fill in as primary support person as needed.
Assist other Baker Tilly IT personnel with problem resolution as needed. This can include firm-wide issues, as well as region specific problems.
Conduct briefings and demonstrations for users to enhance systems productivity. May be called upon to assist in the development of training coursework and materials as well as performing the actual training.
Maintain technical knowledge by attending technical education, attending workshops, reading publications and pursuing technical certifications.
Maintain and comply with quality service by following organization’s technological standards. Document procedures
Research new technologies and applications that can improve the quality, performance or functionality of database applications used firm-wide.
All other duties as assigned.
Qualifications:
Bachelors degree required.
1 to 3 years of related work experience required.
Bachelor’s degree in related field.
SQL Server Administration.
SQL programming/SQL Database.
SQL Server Reporting Services.
SQL Server Analysis Services.
Experience in .NET programming (ASP.NET, VB.NET, C#).
Experience with SQL Server Integration Services.",https://www.indeed.com/rc/clk?jk=796e60aafb41ccbe&fccid=1bfec2a2f61dd5c2&vjs=3
Database Administrator,"AMCHES, INC","Annapolis Junction, MD","$125,000 - $135,000 a year","Overview:

Baker Tilly US, LLP (Baker Tilly) is a leading advisory, tax and assurance firm, providing clients a genuine coast-to-coast and global advantage with critical mass and top-notch talent in major regions of the U.S. and in many of the world’s leading financial centers – New York, London, San Francisco, Los Angeles and Chicago. Baker Tilly is an independent member of Baker Tilly International, a worldwide network of independent accounting and business advisory firms in 148 territories, with 36,000 professionals and a combined worldwide revenue of $4.0 billion.
Many of Baker Tilly’s roles have the opportunity to work remotely. Please discuss with your talent acquisition professional to understand the requirements for an opportunity you are exploring.
Baker Tilly is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status, gender identity, sexual orientation, or any other legally protected basis, in accordance with applicable federal, state or local law.
Responsibilities:

The Junior Database Administrator is responsible for implementation, maintenance, testing and support of firm-wide databases and applications, primarily related to Baker Tilly Time and Billing System (STAR). This includes analyzing, developing and managing requests for modifications and enhancements to the database structure for these applications. Also responsible for supporting the application development team with database changes, queries, and reports, as well as working with the Technical Services Team on maintenance updates to the database servers.
Primary Duties and Responsibilites:
Responsible for the infrastructure and architecture for all database systems and related subsystems. This includes the definition of backup strategies and maintenance plans, patch management procedures and disaster recovery procedures and processes. In addition, this role is responsible for system performance maintenance and data integrity.
Responsible for the development of enhancements and modifications to the database systems used by the firm. This includes the development of custom level queries, SSIS packages, reports and actual system development work as needed, including enhancement estimates.
Assist in Reporting team initiatives through identifying end user requirements, development, testing and support of reports, data warehouses and data analysis.
Provide firm-wide support for all custom-built applications. Additionally, provide second level support for STAR. Fill in as primary support person as needed.
Assist other Baker Tilly IT personnel with problem resolution as needed. This can include firm-wide issues, as well as region specific problems.
Conduct briefings and demonstrations for users to enhance systems productivity. May be called upon to assist in the development of training coursework and materials as well as performing the actual training.
Maintain technical knowledge by attending technical education, attending workshops, reading publications and pursuing technical certifications.
Maintain and comply with quality service by following organization’s technological standards. Document procedures
Research new technologies and applications that can improve the quality, performance or functionality of database applications used firm-wide.
All other duties as assigned.
Qualifications:
Bachelors degree required.
1 to 3 years of related work experience required.
Bachelor’s degree in related field.
SQL Server Administration.
SQL programming/SQL Database.
SQL Server Reporting Services.
SQL Server Analysis Services.
Experience in .NET programming (ASP.NET, VB.NET, C#).
Experience with SQL Server Integration Services.",https://www.indeed.com/rc/clk?jk=796e60aafb41ccbe&fccid=1bfec2a2f61dd5c2&vjs=3
Database Administrator (MS SQL),NR Consulting LLC,"New York, NY",,"Role: Database Administrator (MS SQL)
Location: New York

Note:
Remote till COVID
LinkedIn Must.
Look for candidate who has strong MS SQL ADMINISTRATION.

JD:
The Senior Database Administrator performs as a lead member of the Infrastructure Database Support Team
(1.) To adhere to quality standards, regulatory requirements and company policies
(2.) To provide support for on call escalations and doing incident and problem management
(3.) To independently resolve tickets and ensure that the agreed SLA of ticket volume and time are met for the team
(4.) To ensure positive customer experience and CSAT through First Call Resolution and minimum rejected resolutions or Reopen Cases
(5.) Work on value adding activities such Knowledge base update and management, Training freshers, coaching analysts and conducting interviews or participation in hiring drives
(6.) To participate or contribute on EN business in creation of proposals to drive Service improvement plans.

Kindly share the submission details in the below format.
@
Date Position Location Candidate Name Contact No. Email ID Current Location Work authorization Rate/Salary",https://www.indeed.com/rc/clk?jk=79ba490c3a71e1d6&fccid=3800c35bb29ac508&vjs=3
Oracle Database Administrator,ManTech International Corporation,"Colorado Springs, CO 80903 (Central Colorado Springs area)•Remote","$105,000 - $175,000 a year","All ManTech employees will need to meet the requirements set forth in Executive Order 14042 and the Safer Federal Workforce Task Force Guidance requiring all covered contractor personnel to be fully vaccinated against COVID-19.
Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first.Â At ManTech International Corporation , youâ€™ll help protect our national security while working on innovative projects that offer opportunities for advancement.
Currently, ManTech is seeking a motivated, career and customer-oriented Oracle Database Administrator to join our team in Colorado Springs, CO. You will support an IT operations environment.Â You should expect to support work on weekends, and you may be included in an on-call rotation for after-hours support.
Responsibilities include, but are not limited to:
Ensuring availability and performance of the databases that support the system
Ensure that associated hardware resources are allocated to the databases and ensure high availability and optimum performance
Proactively monitor the database systems to ensure secure services with minimum downtime
Assist in providing trend analysis to the service management team to enable them to make informed decisions regarding resource management as well as provide problem escalation to the development team and third parties as appropriate.Â In addition, you are responsible for the improvement and maintenance of the databases, to include, rollouts, upgrades, implementations, and release of database changes as required.
Provide data management support across multiple applications
Provide 24/7 support of production database services to ensure the highest standards of availability, resilience, integrity, security, and performance
Performance monitoring, reporting, and tuning of Oracle databases
Management and maintenance of back-ups & recovery procedures
Installation and maintenance of database server, replication, and client environments
Reviewing and tuning SQL and PL/SQL code
Assist with designing database packages and procedures
Provision of support and assistance to development team in the design, development, testing, tuning and implementation of database applications
Assist with the creation and maintenance of SQL queries and routines
Provisioning of (database) development and testing environments
Writing ad-hoc queries based on schema knowledge for various reporting requirements
Writing / Tuning data ingestion procedures from external suppliers and partners using PL/SQL, sql loader, and third-party tools (e.g., Toad etc.)
Assist in supporting complex data models, object relational database mapping and producing complex reports
Required Qualifications:
A Professional Oracle DBA Certification
An Oracle RAC and Grid Certified Expert
A Bachelor's degree in Computer Science, Information Systems, Engineering, or any other related scientific or technical discipline
A minimum of ( 7) seven years of related professional experience; a degree can be substituted for an additional (11) eleven years of related experience
Working knowledge of Oracle 11g with production support experience in a multi-project environment
Working knowledge of Oracle 12c and migration from Oracle 11g
Working knowledge of SQL and PL/SQL including tuning
Working Knowledge of Oracle Recovery Manager, Import/Export (and Datapump), SQL*Loader and Oracle Enterprise Manager
Working Knowledge of High Data Availability (HAD) strategies and tools
Knowledge of Unix/Linux in a multi-domain environment including basic commands and shell scripting
Desired Qualifications:
Knowledge of XML and HTML
Knowledge of open-source web development
Security Clearance Requirements:
U.S. citizenship
Ability to obtain and maintain agency Suitability
An active DoD Secret clearance, is preferred
Physical Requirements:
The person in this position must be able to remain in a stationary position 50% of the time. Occasionally move about inside the office to access file cabinets, office machinery, or to communicate with co-workers, management, and customers, via email, phone, and or virtual communication, which may involve delivering presentations.
#LI-CS2
The projected compensation range for this position is $105,000-$175,000. There are differentiating factors that can impact a final salary/hourly rate, including, but not limited to, Contract Wage Determination, relevant work experience, skills and competencies that align to the specified role, geographic location (For Remote Opportunities), education and certifications as well as Federal Government Contract Labor categories. In addition, ManTech invests in itâ€™s employees beyond just compensation. ManTechâ€™s benefits offerings include, dependent upon position, Health Insurance, Life Insurance, Paid Time Off, Holiday Pay, Short Term and Long Term Disability, Retirement and Savings, Learning and Development opportunities, wellness programs as well as other optional benefit elections.
For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on either verifying U.S.-person status or obtaining any necessary license.Â The applicant will be required to answer certain questions for export control purposes, and that information will be reviewed by compliance personnel to ensure compliance with federal law. ManTech may choose not to apply for a license for such individuals whose access to export-controlled technology or software source code may require authorization and may decline to proceed with an applicant on that basis alone.
ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.
If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.
If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",https://www.indeed.com/rc/clk?jk=ca40f17f886c0e28&fccid=578fa8376f4eec04&vjs=3
