Job Title,Company Name,Location,Salary,Description,link
Logistics Analyst,Jones Twine & Net Wrap Inc,"Sheldon, MO 64784",$15 - $17 an hour,"Department:  LogisticsRole:  Logistics AnalystTeam Overview: Jones Twine & Net Wrap has proudly served the Midwest for four generations, providing high quality year-round service, the best hay-baling products, and industry-leading prices to help make your business more profitable. We strive to keep our dealers supplied with the products and prices they need in order to set the pace in their own market area.Founded in 1955 on the basis of service, local and nationwide, we’ve now celebrated over 60 years of successfully serving hundreds of valued customers and we’re just getting started. We’re more than just a company — we always have been, and always will be, a family.Role Definition: We are looking for a detail-oriented problem solver to join our logistics team! The ideal candidate is a task-centric, critical thinker who is passionate about optimizing delivery costs. They are fired up to pursue our five Core Values:United we conquerCommitted to excellenceChristlike characterWe take care of our customersAlways GrowingThe ideal candidate has some experience in coordinating freight shipments and/or working with Enterprise Resource Planning (“ERP”) software. They can make confident, quick decisions when necessary, and are transparent and accountable with the results. They want to join an environment where they will be challenged to grow professionally and are a champion of change. They do not hesitate to reach for the phone and make a call to gather information or share news and updates (both internally and with freight partners and customers).Schedule: This position is full-time. Expected work hours are Monday-Friday, 8:30a to 5:00p. No travel is required and overtime is requested periodically as needed. We pride ourselves in offering a great work-life balance and empower our team to prioritize their families!LEARN MORE ABOUT OUR GREAT TEAM ONLINE > https://www.jonestwine.com/Job Type: Full-timePay: $15.00 - $17.00 per hourBenefits:401(k) matchingDental insuranceHealth insuranceLife insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridaySupplemental Pay:Bonus payAbility to commute/relocate:Sheldon, MO 64784: Reliably commute or planning to relocate before starting work (Preferred)Education:High school or equivalent (Preferred)Experience:Logistics: 1 year (Preferred)ERP systems: 1 year (Preferred)Work Location:One locationWork Remotely:NoWork Location: One location",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3XOFoZprunYAwyFTwBmZnFs8AFwm99xL_SbfaUAscLPXu0DisRCGZducOtKidTIoYGaz8SEf5WKg_KX5XJzI8TG3lCLBqmYMro5V7Hk8BrBEIewbplui3ZhwfU5GVGUehBWVZajZpRkI7HdKhvYbS1yFf97jGZqWt8HwYn8MuKZmwzphvb-7xn5GoVHR7_UmEY3h1m_hTT_PxBApWkEMYIU67Ukqmt6VzeRj0Iz5ciRQ6ZSDtWqcEZzUFbNw2SM14lDIWFgNrabQ_K-hKYQu1qkr_R70uQIiWkUs4Emn1JwVM11seCSEXHs5PNkWpxDii7CGC_-HKqSzO843Ge7GL8RGRfJJP8AJclwgod2m1r3iaFOQmVBdOWthZZg4DP9H7PU_pLEctnVuPMSJ9NFa873tCSyT9GJMAjK_hrgPmLEkh05o_5aMy_6FSI98tlK4e0SVQKXl2xH1ieSeHyreqeeC_ALpkNH_LbVZl2YTnSXyiZBmw4S5Mu6nS4Pd4hPI=&p=0&fvj=1&vjs=3
Purchasing Analyst,"Race Technologies, LLC | Brembo Official Partner","Irvine, CA 92614 (Business District area)","$50,000 - $75,000 a year","Purchasing Analyst Prospective Candidate, please note: In order to be considered for the Purchasing Analyst position, the Indeed Skills Assessments selected for the position must be completed. The Assessments are emailed to you from Indeed after you have applied for the position and submitted your resume. If for any reason you do not receive them, please contact us directly and we will gladly forward them to you.About Race Technologies, LLC and the Purchasing Analyst position...We are a dynamic growth driven company in the Automotive and Motorcycle Industry that represents one of the worlds top brands in the Performance and Racing Market. We are seeking a highly qualified candidate with a positive attitude, that is eager to grow and wants to become an integral part of a team.Primary Roles / ResponsibilitiesThe primarily focus of this role is reviewing, tracking, analyzing, ordering and coordinating the flow of parts throughout our system. There will be close interaction with our Operations Team and our Primary Suppliers managing monthly stock orders and expediting time sensitive customer orders. It will be essential for the candidate to have extensive experience related to the following:Utilizing large data files with multiple product lines comprised of 20,000+ SKU'sCreating and implementing BOM's and disseminating information throughout the companyCollaborating with our existing Purchasing, Operations and Data Team Members to ensure the accuracy and validity of the data being used and resolving any anomalies prior to producing forecasts or ordering productsMaintaining a high level of accuracy and consistency in all functions related to the roleSkills / TraitsThe following skills and traits would need to come naturally to the candidate in order to successfully fulfill this role:Positive personality that is committed to help/support others on the teamStrong written and verbal communication skillsHighly detail oriented, accurate and organizedCapable of handling multiple prioritiesAble to work with a sense of urgencyEducation / TrainingEducation and experience equal to a minimum of 3 years in a dedicated Purchasing role and/or the equivalent in education related to Purchasing.Software/ToolsExcel - Advanced experience using Excel including formulas and pivot tables.Access - Advanced experience using Access a plus but not requiredNetSuite / Oracle ERP/CRM - Experience with NetSuite a plus but not requiredJob Type: Full-timePay: $50,000.00 - $75,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee discountHealth insurancePaid time offSchedule:Day shiftMonday to FridaySupplemental Pay:Bonus payCOVID-19 considerations:Our two main objectives are to keep our team safe and to ensure business continuum. Throughout the pandemic, we have been pro-active during each phase and will continue to be diligent to protect our staff, customers and suppliers.Education:Bachelor's (Preferred)Experience:Microsoft Excel: 2 years (Required)Purchasing: 2 years (Required)Work Location:One locationWork Remotely:NoWork Location: One location",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6wUQMrZFs6884AeKpWj9q3dCunxaCERu37uaURhOsgHDNMcPxnzE7NveQG2pjczS-BS3t0VuI5te_wTJJn6M50yVWq_xrSMxewRXOIQ87zg6OtMTEzYJydp8mvBVppxe_db6MZ0pxQEJ65acKQYpaSAf8aZRxlcDd2cfnS3CywdPy9vJgKkITd16c8m5W8iyp9L3ZutAgdLOI9xbM1qkldvhW--v1R1NEF6kx33RloC-t5faFNpkPmggYxjg6TWnmGyTA0Olem-wviDOFCVJDypLCWGwBPm5BDlpniFPGCiYzuxLy769EU8e6z1TlDdYx0g9qB_bV0vlydIX7RNJSLSXoVhdKVkzuAGAv4THt_gSjAXvO8lFvy8bgdPTVkyEjuBKX2WgrFKOxMEmblwb4se6fpmTozq25slaNwGVi1m2OPXZot7IpfvV7uNpm8rDz4SXY_UAosRDI66Y8RIkWtEOgaJvIzwepjyRP7X4lzAIC_etAMuJqUBG3KyeWNhs=&p=1&fvj=1&vjs=3
Senior Supply Chain Market Forecast & Intelligence Lead Anal...,BOEING,"Everett, WA 98207 (Lowell area)•Remote","$95,130 - $176,670 a year","Job Description
At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
To ensure compliance with President Biden’s September 9, 2021 executive order, Boeing is implementing a new requirement for U.S.-based employees to either show proof of being fully vaccinated from COVID-19, or have an approved reasonable accommodation (based on a disability/medical condition or sincerely held religious belief) exempting them from the requirement, by December 8, 2021 (timing may vary in some states). Individuals who are unable to meet COVID-19 requirements due to a disability/medical condition or sincerely held religious belief may apply for a reasonable accommodation during the post-offer process. Individuals with approved accommodations will be subject to frequent COVID-19 testing.
Boeing has implemented a new COVID-19 Vaccination Policy in Australia that requires all new Boeing Australia hires to show proof of being fully vaccinated from COVID-19, or have an approved medical exception by 3 December 2021. For Victorian based employees, the compliance date is 26 November 2021.
All other global Boeing locations do not have a vaccination requirement at this time.
The Boeing Company is looking for a Senior Supply Chain Forecast and Strategy Analyst (Level 5 ) to represent Boeing Commercial Airplanes as a lead focal supporting development of a supply base and market analysis forecast. This position will lead the development of a supply chain market forecast, integrate with other forecasting teams within Boeing and plays a critical role in offering insights to leadership and Supply Chain teams to understand current market and competitive dynamics.

This position will be a telecommuting position home based in one of the listed locations. Occasional domestic and international travel is required (~10%)

Position Responsibilities:
Subject matter expert in collecting, analyzing and synthesizing market intelligence related to the creation of market forecasts directed toward supply chain.
Lead analysis and communication of significant emerging supplier trends.
Lead Collaboration with cross-functional teams to integrate market forecasts.
Train and lead other team members in creation of a supply chain market forecast.
Investigate and synthesize publicly sourced market intelligence data to create bench-marking analysis, supporting supply chain business decisions.
Develops short term and long term market forecasts to inform senior leadership and other stakeholders to aid decision making.
Develop a systemic understanding of integrated strategy in support of overall supply chain category strategies.
Experience in creating and managing comprehensive project schedules identifying time frames for key project milestones and ensuring alignment of sub tier activities for overall project visibility, tracking and completion.
Provides technical and business guidance to critical suppliers and programs.
Leads strategic supply chain activities to manage work with suppliers and programs.
Manages all aspects of supplier and stakeholder relationships and performance throughout all contract phases.
Leads supplier assessments and the development of recovery plans, corrective and preventative actions.
Leads the development of company or business unit procurement strategies.
Provides oversight, guidance and verification of work movement projects.
Communicates supplier and organization performance plans risks, issues and opportunities to stakeholders.
Manages work movement plans.

Employer will not sponsor applicants for employment visa status.

Basic Qualifications (Required Skills/Experience):
10+ years of experience conducting data, trend and/or forecasting analysis.
10+ years of experience in building and presenting plans or recommendations to executive leadership.
5 or more years of experience with performing strategy work -development, integration, and execution (e.g. market or competitive research and analysis, strategy development, and facilitating strategic decisions).

Preferred Qualifications (Desired Skills/Experience):
Bachelor’s degree or higher.
Experience in a supply chain, technical, or engineering field.
Previous experience with forecasting industry groups
Previous experience in a team leadership role, or as a senior team member OR 3 or more years of experience leading teams in a formal and/or informal leadership role.
Previous experience as a mentor or trainer OR experience mentoring, coaching, guiding, and leading teams.

Typical Education/Experience:
Education/experience typically acquired through advanced technical education (e.g. Bachelor) and typically 14 or more years' related work experience or an equivalent combination of technical education and experience (e.g. PhD+9 years' related work experience, Master+12 years' related work experience, 18 years' related work experience, etc.).

Relocation:
Relocation assistance is not a negotiable benefit for this position. Candidates must live in the immediate area or relocate at their own expense.

Drug Free Workplace:
Boeing is a Drug Free Workplace where post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol when criteria is met as outlined in our policies.

“At Boeing, we strive to deliver a Total Rewards package that will attract, engage and retain the top talent. Elements of the Total Rewards package include competitive base pay and variable compensation opportunities.

The Boeing Company also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health insurance, flexible spending accounts, health savings accounts, retirement savings plans, life and disability insurance programs, and a number of programs that provide for both paid and unpaid time away from work.

The specific programs and options available to any given employee may vary depending on eligibility factors such as geographic location, date of hire, and the applicability of collective bargaining agreements.

Please note that the salary information shown below is a general guideline only. Salaries are based upon candidate experience and qualifications, as well as market and business considerations.

Summary pay range: 95,130 – 176,670""",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BddK4H-tsabPiX3BvkwhvbvP4OkLNzlRX6egXJy9Hb18t9Bzu37hPjdxNx4SLkQnzOGPWK2_ztDUpgq7IGFLC6Ai6_zGzUI8PAIJeYZ9_hWelZ0T2Lj9xdOLUuyTQ5C6IZtxK8om1QK0VH-KueUqIy9ucGFq8gC7E0vspqx6IWLCe1GbFJbPu0U40-OwMwUWu1vW3r1L5jOQJxDZU5QHCjAsX93vgHO1GJ7TFIeYM_ntlpM8hwGqUEQQeldyygkuUYO9a_Mls9iOHmNNbBcJ4UKAAqh7tnJ9uwHu7xrCnQEALC4RJHYWwZlbIAVhVkcsj6Q0LvgRzZVEA3bbNdCGcIo1UZfkP2Cx4NrVB6aym8q7uQBUhafAUYzgPVrVK_q-Wz-jKpCQ3gYFPPinN1YGtn383z29fri8u1e3KpCbyWsw==&p=2&fvj=0&vjs=3
Product Cost Estimator/Analyst,ACCRA-FAB INC,"Liberty Lake, WA",$16 - $18 an hour,"POSITION TITLE: Product Cost Estimator/AnalystPRIMARY FUNCTION: Generates cost estimates and quotes, and analyzes product costs using Planning for Product Realization tools and techniques, while working with Manufacturing, Engineering, Customer Service and Purchasing teams.Output: Accurate Job EstimatesWorks with customer service and engineering to clarify product requirements.Works with vendors and suppliers for costing of materials and subcontracting.Provide customer service with product quotes.Output: Prints for ManufacturingReview engineered drawings for manufacturability.Redline Customer Specifications and Requirements on manufacturing prints.Develop Bill of Materials (BOM’s) routings.Output: Successful ProjectsContribute to Product Realization team outputs.Contribute to Cost Improvement team outputsResearch and implement Supply Chain sourcing options.Output: Improved Processes and ProceduresResponsible for following all documented and posted safety procedures and requirements.Ensure compliance with and follow documented Quality/ISO/AS9100D procedures as well as company and department policy.Support and contribute to the Company’s Mission, Vision and Values.Contribute to efficient company operations by performing other related duties as assigned.JOB QUALIFICATIONS: Previous costing experience in a manufacturing environment preferred.Blueprint reading experience preferred.Precision sheet metal manufacturing experience preferred.Proficient in basic math.Proficient in Windows based programs.Strong organizational skills.Strong communication skills.PHYSICAL/SENSORY REQUIREMENTS: Ability to bend, stoop and lift.Ability to lift up to 25 pounds.Job Type: Full-timePay: $16.00 - $18.00 per hourBenefits:401(k)Dental insuranceDisability insuranceHealth insuranceHealth savings accountLife insurancePaid time offVision insuranceSchedule:10 hour shiftDay shiftOvertimeExperience:Manufacturing Cost Estimating: 1 year (Preferred)Work Location:One locationWork Location: One location",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMW2KX78nhzP32uHUbbUwd_O8WsmuXDQo5ovbiFmpOpybCqEMYlnCkZUp_cWzrCn-e45m5jHjwX5ckX64ZNDp0m-8cFlDY3_rDA5kp8YSBZ3KKF0B4fy_6AKiES9WarKw8rw6OP0VWA1JWWPgSpSQ2GVDboqIhIFcqIflhydrnq469Le3gpkU4wvnBX4dj_Hwg4xYcE-EshJesCTh6mTfXaOhOsI9bcoWK-6-bV_q991KUEWeJMqvnJw5FyiSO0G9sNXs4Wk62TykzrAnl9PTEtGsd1DcOV9dTn6aU3ukb1aQI_zCe03NN_44EpgB7ataJk51ovKbN9_XQCKDF03S1WwjtYx_XYJEa3J0VWUTZ27l7CcqMiKw-ArLcZu3vW7unaJrqDWB5q0Kj2iFHfuZuIPtDyNrdbBBJs-TUMJ2_RwKXkG9o7870G5fH-Hlvee5BHdyBkUCv3nD26ivHWSN02Y05xwas-sFFOoG8rx2zCGnW6IXQRad68I044kGQEUg1aui3U71v_Xc0wr__3pyO&p=3&fvj=1&vjs=3
Senior Financial Analyst (Penske Logistics),Penske,"Corona, CA",,"Position Summary:


A Penske Logistics Sr. Financial Analyst is responsible for the company’s financial forecasting, annual planning, operating plan variance analysis and special projects. The position provides financial consulting and support to operations personnel as well as senior management. The analysis includes preparing financial presentations, analyzing operating data and client P&Ls as well as other ad hoc reporting. This is a hands on role that requires the analyst to work directly with the operations personnel by getting involved to understand and improve the business.

Major Responsibilities:


Perform required monthly financial close related activities including preparing required journal entries to ensure accuracy and compliance
Analyze financial information and reports to provide accurate and timely financial recommendations to management for decision making purposes
Update and monitor key performance indicators and key financial metrics, highlighting trends and analyzing variances, to understand and be able to communicate the financial health of each location
Work with the operations team to develop annual budgets, monthly forecasts, and KPI reporting, including financial performance, variance explanations, and cost analysis
Provide senior management and the operations team with in-depth financial analysis of actual spend to drive insights on trends, investment areas and opportunities to optimize costs, driving better decision making
Deliver ad hoc reporting and analysis
Perform other duties as assigned

Qualifications:

Bachelor's Degree in Accounting or Finance
3-7 years experience in financial planning, analysis, or modeling
Strong analytical skills required
Logistics/Operations experience preferred
Must be able to exercise moderate independent judgment with direction from supervisor
Advanced Microsoft Excel skills required; Proficient in use of other MS Office products
Detail oriented and highly analytical, able to translate data and trends into clearly understandable messaging
Highly organized and self-motivated individual with a strong work ethic and ability to thrive as part of a financial management team
Strong understanding of the importance of hands on collaboration with the Operations team and the personnel at the Area, Region and Corporate levels
Quality program certification (Six Sigma, ISO, LEAN, etc.) preferred
Some travel is required
Complete Penske employment application, submit to a background investigation (to include past employment, education, and criminal history) and drug screening are required

Physical Requirements:

The physical and mental demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The associate will be required to read, communicate verbally and/or in written form, remember and analyze certain information, and remember and understand certain instructions or guidelines.
While performing the duties of this job, the associate may be required to stand, walk, and sit. The associate is frequently required to use hands to touch, handle, and feel, and to reach with hands and arms. The associate must be able to occasionally lift and/or move up to 25lbs/12kg.
Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus.
Penske is an Equal Opportunity Employer, including individuals with disabilities and protected veterans.

About Penske Logistics

Penske Logistics is a wholly owned subsidiary of Penske Truck Leasing. With operations in North America, South America, Europe and Asia, Penske Logistics provides supply chain management and logistics services to leading companies around the world. Penske Logistics delivers value through its design, planning and execution in transportation, warehousing and freight management. Visit www.PenskeLogistics.com to learn more.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CtpXM0MSzpMQ_ld-1IrueFxu_hVDIxNkdu7oUVWOFjtMC_nN-USqOkkd73_8GWhVL3QJtP3GcDmK8qxdu-7GkBh3-dt8EpnuN8uIWIY7wDzUJll-uhQAGBDJ5RMnGLJj3z8oN9KUBK4Midom5lAXicnBQaJySxEQYXNImIcDawnBnvlfa3NtN6lHPJyt0gy3v9JcOVNuj-W1C2ZURdU_utk1Xt_oGhixeONm0zJGRx7ZjJnzolxAFTooHmKNp8eDOk2_DafCZhyIiRj8MKdJvslTV3_wPxQLGoXZN9bzgMgKE6f_W-xhXwcmVDnOdEWM9kADecYDyHCjF-rxU3fkcq2g7VPkhxZINb4WFyErIO41UbLl_L5RT1y2WPA3aAsHN2FsYuSf-Bt2OWEJM1oZSPwWghhmBr_2qzs4LgwefoOG8sYMrRKfrkXMHDTlc0f4YMK-eU2r4eDSG49iFVUx3fS_JTFAdw1820CLYFeG0uoQ==&p=4&fvj=0&vjs=3
Senior Inventory Analyst,"Stephen Joseph, Inc.","Lubbock, TX 79407 (West End area)",,"About this OpportunitySince 1981, Stephen Joseph has been dedicated to creating fun and unique gifts while delivering service to our customers which exceeds their expectations! We are committed to staying true to the core values on which the company was founded: we focus on the details, we produce the highest quality products, and we believe in making our customers happy! Stephen Joseph, Inc. is currently experiencing double digit growth and is looking to expand its workforce.Stephen Joseph Companies is currently seeking a qualified inventory analyst with previous experience in inventory management and supply chain management. We are seeking a highly motivated, organized, detail oriented individual to ensure that we maintain a healthy fill rate across multiple divisions.Job Responsibilities & FunctionMonitors, investigates, and analyzes all aspects of inventory; recommends changes to inventory levels and projection management.Reviews inventory levels, creates purchase orders, communicates directly with overseas suppliers, and follows each purchase order through the entire supply chain: Inventory analysis to receipt of goods.Audits and reconciles inventories, including variance reports and computer inventory adjustmentsResearches and resolves complex inventory discrepancies.Analyzes inventory metrics and recommends improvementsAnalyzes inventory levels in order to maintain inventory integrityAnalyzes surplus/excess inventory across the system and facilitates the sale/movement of inventory to surplus customersResponsible for all communication related to our supply chain: Weekly updates to our internal sales force, daily reports to our overseas staff in China, and daily interaction with our Operations Manager to ensure timely receipt of all purchase ordersAssist and manage inventory projections for all large key accountsAssist in inventory forecasting at 3, 6, and 12 monthsRequired Knowledge, Skills, and AbilitiesBachelors degree in applicable department5+ years of inventory experienceManagement experience is a plusAdvanced skills using all Microsoft products, especially ExcelPrevious ERP / WMS experience requiredExcellent organization and time management skills requiredAbility to effectively manage multiple projects and present information clearly and accuratelyMust live in or be willing to relocate to Lubbock. No remote candidates will be considered.Salary: DOEJob Type: Full-timeSchedule:8 hour shiftExperience:inventory: 5 years (Required)Education:Bachelor's (Preferred)Location:Lubbock, TX (Required)Work authorization:United States (Required)Work Location:One locationWork Remotely:NoWork Location: One location",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BpZP_J7hcgEowJ6Z7ISTG52-uNoyOxI2iKTyat6DMZz73eT7Gjag_g1cJGQ-GjmjGsgwfFX5szUaFXjlW-2pheRyNwcO9faXDAe7jUYdcdjaqvO9Xx-LKlQw-lPw_mypCwvJZ10dgpkV6JqItlcyKta6hi8U2nz4bn-HE41jkBypq5aG5tFyWE8hFpBMMEY5wMxM1_S5mx3HYhYp8NvEPCy8EBc7IgUkclcyJvfrvF4NmDrKP9IHTvHkLReWYWg3HDJSaEbqniCcrLRAdVY4suuwQQQ_B5mfAg08UEVXwQOVd-0lPZPua78glKr_sbJ9o4Hj7u-hNUif0D8uv0kk4gLn-bRnJh7iaNhw8W-QiC4P7cOXL2QtAHx4nlP81T4VmXM5gje-7UgDULnWEU4EH8Qji5f_aOTn2i2_YaBUN7P_8QVuujTOgWkgBj04QSgsKGY1sb280kWCJJ55c0yctgKEO4ToIqq2sM0A5e8AFKyrHDJSpRO2EqR_QVWmto0NsEHqHWKsozBg==&p=5&fvj=1&vjs=3
Financial Analyst (Penske Logistics),Penske,"Reading, PA",,"Position Summary:


A Penske Logistics Sr. Financial Analyst is responsible for the company’s financial forecasting, annual planning, operating plan variance analysis and special projects. The position provides financial consulting and support to operations personnel as well as senior management. The analysis includes preparing financial presentations, analyzing operating data and client P&Ls as well as other ad hoc reporting. This is a hands on role that requires the analyst to work directly with the operations personnel by getting involved to understand and improve the business.

Major Responsibilities:


Perform required monthly financial close related activities including preparing required journal entries to ensure accuracy and compliance
Analyze financial information and reports to provide accurate and timely financial recommendations to management for decision making purposes
Update and monitor key performance indicators and key financial metrics, highlighting trends and analyzing variances, to understand and be able to communicate the financial health of each location
Work with the operations team to develop annual budgets, monthly forecasts, and KPI reporting, including financial performance, variance explanations, and cost analysis
Provide senior management and the operations team with in-depth financial analysis of actual spend to drive insights on trends, investment areas and opportunities to optimize costs, driving better decision making
Deliver ad hoc reporting and analysis
Perform other duties as assigned

Qualifications:

Bachelor's Degree in Accounting or Finance
3-7 years experience in financial planning, analysis, or modeling
Strong analytical skills required
Logistics/Operations experience preferred
Must be able to exercise moderate independent judgment with direction from supervisor
Advanced Microsoft Excel skills required; Proficient in use of other MS Office products
Detail oriented and highly analytical, able to translate data and trends into clearly understandable messaging
Highly organized and self-motivated individual with a strong work ethic and ability to thrive as part of a financial management team
Strong understanding of the importance of hands on collaboration with the Operations team and the personnel at the Area, Region and Corporate levels
Quality program certification (Six Sigma, ISO, LEAN, etc.) preferred
Some travel is required
Complete Penske employment application, submit to a background investigation (to include past employment, education, and criminal history) and drug screening are required

Physical Requirements:

The physical and mental demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The associate will be required to read, communicate verbally and/or in written form, remember and analyze certain information, and remember and understand certain instructions or guidelines.
While performing the duties of this job, the associate may be required to stand, walk, and sit. The associate is frequently required to use hands to touch, handle, and feel, and to reach with hands and arms. The associate must be able to occasionally lift and/or move up to 25lbs/12kg.
Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus.
Penske is an Equal Opportunity Employer, including individuals with disabilities and protected veterans.

About Penske Logistics

Penske Logistics is a wholly owned subsidiary of Penske Truck Leasing. With operations in North America, South America, Europe and Asia, Penske Logistics provides supply chain management and logistics services to leading companies around the world. Penske Logistics delivers value through its design, planning and execution in transportation, warehousing and freight management. Visit www.PenskeLogistics.com to learn more.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CtpXM0MSzpMQ_ld-1IrueFxu_hVDIxNkdu7oUVWOFjtMC_nN-USqOkkd73_8GWhVL3QJtP3GcDmK8qxdu-7GkBh3-dt8EpnuN8uIWIY7wDzUJll-uhQAGBDJ5RMnGLJj3z8oN9KUBK4Midom5lAXicnBQaJySxEQYXNImIcDawnBnvlfa3NtN6lHPJyt0gy3v9JcOVNuj-W1C2ZURdU_utk1Xt_oGhixeONm0zJGRx7ZjJnzolxAFTooHmKNp8eDOk2_DafCZhyIiRj8MKdJvslTV3_wPxQLGoXZN9bzgMgKE6f_W-xhXwcmVDnOdEWM9kADecYDyHCjF-rxU3fkcq2g7VPkhxZINb4WFyErIO41UbLl_L5RT1y2WPA3aAsHN2FsYuSf-Bt2OWEJM1oZSPwWghhmBr_2qzs4LgwefoOG8sYMrRKfrkXMHDTlc0f4YMK-eU2r4eDSG49iFVUx3fS_JTFAdw1820CLYFeG0uoQ==&p=4&fvj=0&vjs=3
Billing Analyst - Logistics,Ryder,Remote,,The Billing Analyst's main responsibility is to provide customized invoice spreadsheets that have been specifically requested from each customer. This type of invoice supplies the customer with KPI's that will allow them to more effectively manage their business. This is an added value that was created for the customer.Job Type: Full-timeSchedule:Monday to FridayWork Location:Fully RemoteWork Location: Remote,https://www.indeed.com/company/Ryder/jobs/Billing-Analyst-a1c4640fb417e514?fccid=4cb14d9431c5728b&vjs=3
Logistics Risk Analyst,Amazon.com Services LLC,Remote,,"
BA/BS degree from an accredited university
3+ years’ experience handling auto physical damage claims
Strong interpersonal and communication skills, with ability to communicate professionally, both verbally and in written format.
Well organized, detail oriented, and adaptable to changing processes and priorities.
Demonstrated ability to work well independently and as a team, comfortable voicing opinions and respecting different perspectives.
Eagerness to learn, develop, and expand skillset.

Job summary
Play a leading role in operational risk improvement at Amazon.com, where we have a tradition of leading the world in innovative technologies and services. Amazon is seeking an experienced Logistics/Auto Risk Analyst who will manage auto physical damage (APD) and property damage (PD) claims for Amazon’s expanding worldwide delivery fleet.

Key job responsibilities
Within the Risk Management Team, you will support and report to a Risk Manager, focusing on claims management, process improvement, and third party administrator (TPA) programs. Duties may include, but are not limited to, the following:


Claims management of commercial APD and PD claims.
Work closely with the TPA to make continued improvements involving APD and PD claims, while supporting simplicity, efficiency, and cost containment.
Provide support to the TPA by confirming Delivery Service Partner information, Flex driver status, and initiating claims as needed by leveraging internal tools.
Develop solutions that will enhance the customer experience by driving change through automation and technology.
Serve as a subject matter expert for internal teams and vendors.
Support internal audits for ensuring quality and compliance in accordance with client service instructions and best practices.
Report out on audit findings, while being able to provide guidance and solutions to the TPA.
Utilize metrics and benchmarking to evaluate trends and make recommendations for process improvements and/or performance management.
Lead claim reviews with the TPA that focus on driving resolution for specifically targeted claims.
Available for domestic travel up to 25%
Fleet or commercial auto claims experience
Experience appraising auto physical damage or handling total loss claims
Auditing experience within a claims organization
Confidently work cross-functionally and vertically within in an organization
ARM, AIC, CPCU, or similar designation

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",https://www.indeed.com/rc/clk?jk=fce83f140efe00c2&fccid=fe2d21eef233e94a&vjs=3
"Logistics Analyst, Inbound",Tesla,"Palo Alto, CA",,"The Role
Tesla is seeking a deeply process oriented, experienced, and self-driven Logistics Analyst to support international and domestic distribution of component vehicle parts. You will work cross-functionally with global supply chain, warehousing, material planning, channel planning, service, finance, and production control to grow and manage Tesla’s service distribution network.
Responsibilities:
Facilitates and coordinates with logistics carriers and customs brokers regarding all aspects of inbound transport service of international air and ocean freight including but not limited to tracking, expediting, final mile, and receipt confirmation taking ownership of the life cycle.
Establishes operational procedures for activities such as verification of incoming shipments and on-time/ delivery performance.
Arranges deliveries for inland transportation and follows up to ensure shipments have reached their final destinations.
Lead and measure processes to ensure logistics operations are completed with excellence.
Develop strong interaction, in and amongst service providers, and the internal team to ensure fluid, efficient movement of shipments.
Take the lead in solving any problems that occur with shipments, and make sure that all parties who need to be kept updated receive timely updates
Liaise between truckers, internal customers, and delivery locations for final delivery of ocean shipments.
Maintains thorough understanding of regulations and laws affecting international transport of cargo.
Pull data from internal database. Analyze, compile, and publish logistics dashboards and metrics for Tesla’s logistics leadership.
Identify service issues trends and escalate them to the Logistics Manager
Requirements:
Bachelor’s degree in Supply Chain or the equivalent of experience and evidence of exceptional ability.
Familiar & experienced with NVOCC & freight forwarding operations.
Ability to write, speak, and present effectively and persuasively at all levels.
Strong analytical and organizational skills; ability to achieve success in situations with high degrees of variation and complexity.
Self-driven initiative to gain and implement a broad knowledge of logistics best practices.
Manage multiple priorities simultaneously, have a strong drive - orientated on result.
Desire to grow and take on increased scope of responsibility.",https://www.indeed.com/rc/clk?jk=ba189154ebc2493e&fccid=86e9be6ce380173e&vjs=3
