Title,Agency,Department,SalaryDisplay,DocumentID,PositionID,Location,DateDisplay,WorkSchedule,WorkType,ClockDisplay,ShowMapIcon,LocationLatitude,LocationLongitude,HiringPath,LowGrade,HighGrade,JobGrade,LocationName,PositionLocationCount,PositionURI,Relocation,MinimumRange,PositionEndDate,SubAgency
Data Analyst,AmeriCorps,Other Agencies and Independent Organizations,"Starting at $103,690 (NY 3)",620021800,AC-21-142-11284359,"Washington, District of Columbia",Open 11/01/2021 to 11/16/2021,Full-time,This appointment is not to exceed (3) three years,,True,38.8904,-77.032,"[{'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'nguard', 'Tooltip': 'Jobs open to current National Guard members or a transitioning military member.', 'IsSearchFilter': False}, {'Code': 'native', 'Tooltip': 'Jobs open to Native Americans or Alaskan Natives with a tribal affiliation.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",3,3,NY,"Washington, District of Columbia",1,https://www.usajobs.gov:443/GetJob/ViewDetails/620021800,False,103690.0,2021-11-16T23:59:59.9970,Office of Information Technology
Program Analyst (Data Science),Deputy Assistant Secretary for Finance,Department of Veterans Affairs,"Starting at $66,829 (GS 12)",620409200,CARX-22-11282155-KBu,"Location Negotiable After Selection, United States",Open 11/04/2021 to 11/25/2021,Full-time,Permanent,,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",12,12,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/620409200,False,66829.0,2021-11-25T23:59:59.9970,"Financial Services Center (FSC), Data Analytics Service"
Data and Reporting Analyst,Office of Inspector General,Department of the Treasury,"Starting at $92,143 (GS 13)",621789700,22-TOIG-3,"Location Negotiable After Selection, United States",Open 11/15/2021 to 11/29/2021,Full-time,Permanent,,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",13,13,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/621789700,False,92143.0,2021-11-29T23:59:59.9970,
Supervisory Program Analyst (Data Scientist),Federal Acquisition Service,General Services Administration,"Starting at $108,885 (GS 14)",622165900,22FASA079KBDE,"Location Negotiable After Selection, United States",Open 11/15/2021 to 11/26/2021,Full-time,Permanent,,False,,,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",14,14,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/622165900,False,108885.0,2021-11-26T23:59:59.9970,
Supervisory Program Analyst (Data Scientist),Federal Acquisition Service,General Services Administration,"Starting at $108,885 (GS 14)",622166100,22FASA064KBMP,"Location Negotiable After Selection, United States",Open 11/15/2021 to 11/26/2021,Full-time,Permanent,,False,,,"[{'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",14,14,GS,"Salt Lake City, Utah",20,https://www.usajobs.gov:443/GetJob/ViewDetails/622166100,False,108885.0,2021-11-26T23:59:59.9970,
Supervisory Performance Improvement / Data Analyst,Indian Health Service,Department of Health And Human Services,"Starting at $92,723 (GS 13)",610015600,IHS-21-GA-11194963-ESEP/MP,"Gallup, New Mexico",Open 11/01/2021 to 12/31/2021,Full-time,Permanent,,True,35.52784,-108.743561,"[{'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'fed-excepted', 'Tooltip': 'Jobs open to current excepted service federal employees.', 'IsSearchFilter': False}]",13,13,GS,"Gallup, New Mexico",1,https://www.usajobs.gov:443/GetJob/ViewDetails/610015600,True,92723.0,2021-12-31T23:59:59.9970,
Supervisory Performance Improvement / Data Analyst,Indian Health Service,Department of Health And Human Services,"Starting at $92,723 (GS 13)",610015900,IHS-21-GA-11194964-DHA,"Gallup, New Mexico",Open 11/01/2021 to 12/31/2021,Full-time,Permanent,,True,35.52784,-108.743561,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",13,13,GS,"Gallup, New Mexico",1,https://www.usajobs.gov:443/GetJob/ViewDetails/610015900,True,92723.0,2021-12-31T23:59:59.9970,
FINANCIAL MANAGEMENT ANALYST (DATA ANALYTICS),Defense Finance and Accounting Service,Department of Defense,"Starting at $53,880 (GS 9-12)",621450200,IN-11276973-22,"Indianapolis, Indiana",Open 11/09/2021 to 11/24/2021,Full-time,Permanent,job-closing-in-7,True,39.76691,-86.14996,"[{'Code': 'fed-internal-search', 'Tooltip': 'Jobs only open to current federal employees of the agency.', 'IsSearchFilter': False}]",9,12,GS,"Indianapolis, Indiana",1,https://www.usajobs.gov:443/GetJob/ViewDetails/621450200,False,53880.0,2021-11-24T23:59:59.9970,DFAS Indianapolis Director Site Support Office
Operations Research Analyst (Senior Financial Data Scientist),"Treasury, Departmental Offices",Department of the Treasury,"Starting at $137,551 (OR 60)",621539300,22-DO-51,Multiple Locations,Open 11/10/2021 to 11/24/2021,Full-time,Permanent,job-closing-in-7,False,,,"[{'Code': 'fed-transition', 'Tooltip': 'Jobs open to ""surplus"" or ""displaced"" federal employees.', 'IsSearchFilter': False}, {'Code': 'overseas', 'Tooltip': 'Jobs open to family members of a federal employee or uniformed service member who is or was, working overseas.', 'IsSearchFilter': False}, {'Code': 'fed-competitive', 'Tooltip': 'Jobs open to current or former competitive service federal employees.', 'IsSearchFilter': False}, {'Code': 'disability', 'Tooltip': 'Jobs open to those who are eligible under Schedule A.', 'IsSearchFilter': False}, {'Code': 'land', 'Tooltip': 'Jobs open to certain current or former term or temporary federal employees of a land or base management agency.', 'IsSearchFilter': False}, {'Code': 'mspouse', 'Tooltip': 'Competitive service jobs that military spouses may be eligible to apply for.', 'IsSearchFilter': False}, {'Code': 'peace', 'Tooltip': 'Jobs open to those who have completed at least 1 year of service with Peace Corp or AmeriCorps Vista.', 'IsSearchFilter': False}, {'Code': 'special-authorities', 'Tooltip': 'Jobs open to those eligible under a special authority not listed above, but defined in the federal hiring regulations.', 'IsSearchFilter': False}, {'Code': 'vet', 'Tooltip': ""Jobs open to those eligible for veterans' preference or separated from the Armed Forces under honorable conditions after 3 years, or more, of continuous military service."", 'IsSearchFilter': False}]",60,60,OR,"Washington, District of Columbia",2,https://www.usajobs.gov:443/GetJob/ViewDetails/621539300,False,137551.0,2021-11-24T23:59:59.9970,
Operations Research Analyst (Senior Financial Data Scientist),"Treasury, Departmental Offices",Department of the Treasury,"Starting at $137,551 (OR 60)",621541800,22-DO-52-P,Multiple Locations,Open 11/10/2021 to 11/24/2021,Full-time,Permanent,job-closing-in-7,False,,,"[{'Code': 'public', 'Tooltip': 'Jobs open to U.S. Citizens, Nationals or those who owe allegiance to the U.S.', 'IsSearchFilter': False}]",60,60,OR,"Washington, District of Columbia",2,https://www.usajobs.gov:443/GetJob/ViewDetails/621541800,False,137551.0,2021-11-24T23:59:59.9970,
