,Occupation text,Area text,Job characteristic code
0,Accountants and auditors,AK,33
1,Accountants and auditors,AL,133
2,Accountants and auditors,AR,81
3,Accountants and auditors,AZ,72
4,Accountants and auditors,CA,260
5,Accountants and auditors,CO,108
6,Accountants and auditors,CT,80
7,Accountants and auditors,DC,7
8,Accountants and auditors,DE,14
9,Accountants and auditors,FL,234
10,Accountants and auditors,GA,150
11,Accountants and auditors,HI,24
12,Accountants and auditors,IA,111
13,Accountants and auditors,ID,71
14,Accountants and auditors,IL,146
15,Accountants and auditors,IN,178
16,Accountants and auditors,KS,72
17,Accountants and auditors,KY,82
18,Accountants and auditors,LA,105
19,Accountants and auditors,MA,67
20,Accountants and auditors,MD,63
21,Accountants and auditors,ME,24
22,Accountants and auditors,MI,188
23,Accountants and auditors,MN,90
24,Accountants and auditors,MO,119
25,Accountants and auditors,MS,55
26,Accountants and auditors,MT,66
27,Accountants and auditors,NC,190
28,Accountants and auditors,ND,55
29,Accountants and auditors,NE,62
30,Accountants and auditors,NH,51
31,Accountants and auditors,NJ,49
32,Accountants and auditors,NM,58
33,Accountants and auditors,NV,37
34,Accountants and auditors,NY,147
35,Accountants and auditors,OH,176
36,Accountants and auditors,OK,70
37,Accountants and auditors,OR,95
38,Accountants and auditors,PA,186
39,Accountants and auditors,RI,18
40,Accountants and auditors,SC,139
41,Accountants and auditors,SD,47
42,Accountants and auditors,TN,116
43,Accountants and auditors,TX,226
44,Accountants and auditors,UT,64
45,Accountants and auditors,VA,145
46,Accountants and auditors,VT,20
47,Accountants and auditors,WA,95
48,Accountants and auditors,WI,213
49,Accountants and auditors,WV,102
50,Accountants and auditors,WY,48
51,Actuaries,CT,3
52,Actuaries,IL,3
53,Actuaries,NJ,5
54,Actuaries,NY,6
55,Actuaries,OH,2
56,Adhesive bonding machine operators and tenders,NC,5
57,Adhesive bonding machine operators and tenders,OR,3
58,Administrative services and facilities managers,AK,9
59,Administrative services and facilities managers,AL,12
60,Administrative services and facilities managers,AR,39
61,Administrative services and facilities managers,AZ,24
62,Administrative services and facilities managers,CA,99
63,Administrative services and facilities managers,CO,22
64,Administrative services and facilities managers,CT,25
65,Administrative services and facilities managers,DC,3
66,Administrative services and facilities managers,FL,86
67,Administrative services and facilities managers,GA,70
68,Administrative services and facilities managers,HI,12
69,Administrative services and facilities managers,IA,42
70,Administrative services and facilities managers,ID,10
71,Administrative services and facilities managers,IL,51
72,Administrative services and facilities managers,IN,49
73,Administrative services and facilities managers,KS,23
74,Administrative services and facilities managers,KY,24
75,Administrative services and facilities managers,LA,20
76,Administrative services and facilities managers,MA,18
77,Administrative services and facilities managers,MD,15
78,Administrative services and facilities managers,MI,27
79,Administrative services and facilities managers,MN,28
80,Administrative services and facilities managers,MO,33
81,Administrative services and facilities managers,MS,25
82,Administrative services and facilities managers,MT,1
83,Administrative services and facilities managers,NC,72
84,Administrative services and facilities managers,ND,7
85,Administrative services and facilities managers,NE,15
86,Administrative services and facilities managers,NH,12
87,Administrative services and facilities managers,NJ,8
88,Administrative services and facilities managers,NM,18
89,Administrative services and facilities managers,NV,20
90,Administrative services and facilities managers,NY,27
91,Administrative services and facilities managers,OH,67
92,Administrative services and facilities managers,OK,34
93,Administrative services and facilities managers,OR,30
94,Administrative services and facilities managers,PA,24
95,Administrative services and facilities managers,RI,6
96,Administrative services and facilities managers,SC,75
97,Administrative services and facilities managers,SD,13
98,Administrative services and facilities managers,TN,37
99,Administrative services and facilities managers,TX,146
100,Administrative services and facilities managers,UT,21
101,Administrative services and facilities managers,VA,48
102,Administrative services and facilities managers,WA,3
103,Administrative services and facilities managers,WI,59
104,Administrative services and facilities managers,WV,32
105,Administrative services and facilities managers,WY,5
106,Advertising and promotions managers,CT,3
107,Advertising and promotions managers,LA,2
108,Advertising and promotions managers,NJ,3
109,Advertising and promotions managers,NV,3
110,Advertising and promotions managers,NY,2
111,Advertising and promotions managers,OK,2
112,Advertising and promotions managers,UT,3
113,Advertising sales agents,AR,2
114,Advertising sales agents,FL,2
115,Advertising sales agents,IA,1
116,Advertising sales agents,IL,4
117,Advertising sales agents,IN,4
118,Advertising sales agents,KS,2
119,Advertising sales agents,MO,5
120,Advertising sales agents,NC,4
121,Advertising sales agents,ND,2
122,Advertising sales agents,NE,4
123,Advertising sales agents,OK,4
124,Advertising sales agents,SC,2
125,Advertising sales agents,SD,2
126,Advertising sales agents,WI,2
127,Aerospace engineers,CA,8
128,Aerospace engineers,CO,4
129,Aerospace engineers,GA,3
130,Aerospace engineers,MD,3
131,Aerospace engineers,NM,3
132,Aerospace engineers,TX,5
133,Aerospace engineers,WA,8
134,Agricultural and food science technicians,AR,3
135,Agricultural and food science technicians,IA,3
136,Agricultural and food science technicians,NC,2
137,Agricultural and food science technicians,NE,3
138,Agricultural and food science technicians,OH,3
139,Aircraft mechanics and service technicians,AK,4
140,Aircraft mechanics and service technicians,AL,4
141,Aircraft mechanics and service technicians,AR,3
142,Aircraft mechanics and service technicians,CA,7
143,Aircraft mechanics and service technicians,HI,2
144,Aircraft mechanics and service technicians,IA,4
145,Aircraft mechanics and service technicians,ID,3
146,Aircraft mechanics and service technicians,KS,4
147,Aircraft mechanics and service technicians,KY,5
148,Aircraft mechanics and service technicians,MO,3
149,Aircraft mechanics and service technicians,MS,5
150,Aircraft mechanics and service technicians,NJ,2
151,Aircraft mechanics and service technicians,NM,3
152,Aircraft mechanics and service technicians,NV,2
153,Aircraft mechanics and service technicians,NY,5
154,Aircraft mechanics and service technicians,OK,6
155,Aircraft mechanics and service technicians,OR,2
156,Aircraft mechanics and service technicians,TN,5
157,Aircraft mechanics and service technicians,TX,4
158,Aircraft mechanics and service technicians,UT,1
159,Aircraft mechanics and service technicians,WA,5
160,"Aircraft service attendants and transportation workers, all other",WI,2
161,Amusement and recreation attendants,DE,3
162,Amusement and recreation attendants,FL,50
163,Amusement and recreation attendants,GA,3
164,Amusement and recreation attendants,IA,5
165,Amusement and recreation attendants,IL,10
166,Amusement and recreation attendants,IN,9
167,Amusement and recreation attendants,KS,10
168,Amusement and recreation attendants,MI,11
169,Amusement and recreation attendants,MO,15
170,Amusement and recreation attendants,NC,42
171,Amusement and recreation attendants,ND,5
172,Amusement and recreation attendants,NE,5
173,Amusement and recreation attendants,NJ,3
174,Amusement and recreation attendants,NY,21
175,Amusement and recreation attendants,OH,19
176,Amusement and recreation attendants,PA,7
177,Amusement and recreation attendants,SC,19
178,Amusement and recreation attendants,SD,5
179,Amusement and recreation attendants,VA,17
180,Amusement and recreation attendants,WI,4
181,Amusement and recreation attendants,WV,6
182,Animal caretakers,AK,3
183,Animal caretakers,AL,3
184,Animal caretakers,AR,3
185,Animal caretakers,CA,14
186,Animal caretakers,CO,4
187,Animal caretakers,FL,11
188,Animal caretakers,IA,3
189,Animal caretakers,ID,2
190,Animal caretakers,IN,2
191,Animal caretakers,KS,5
192,Animal caretakers,KY,5
193,Animal caretakers,LA,3
194,Animal caretakers,MA,2
195,Animal caretakers,MI,4
196,Animal caretakers,MO,9
197,Animal caretakers,MS,3
198,Animal caretakers,MT,2
199,Animal caretakers,NC,8
200,Animal caretakers,NE,3
201,Animal caretakers,NM,2
202,Animal caretakers,NV,2
203,Animal caretakers,NY,2
204,Animal caretakers,OH,11
205,Animal caretakers,OK,3
206,Animal caretakers,OR,6
207,Animal caretakers,PA,2
208,Animal caretakers,RI,4
209,Animal caretakers,SC,4
210,Animal caretakers,SD,3
211,Animal caretakers,TN,9
212,Animal caretakers,TX,3
213,Animal caretakers,UT,2
214,Animal caretakers,VA,11
215,Animal caretakers,WI,2
216,Animal caretakers,WV,3
217,Animal caretakers,WY,2
218,"Architects, except landscape and naval",AR,3
219,"Architects, except landscape and naval",CO,2
220,"Architects, except landscape and naval",ID,3
221,"Architects, except landscape and naval",IN,3
222,"Architects, except landscape and naval",KS,6
223,"Architects, except landscape and naval",LA,3
224,"Architects, except landscape and naval",MO,9
225,"Architects, except landscape and naval",MT,2
226,"Architects, except landscape and naval",NE,3
227,"Architects, except landscape and naval",NM,3
228,"Architects, except landscape and naval",OK,3
229,"Architects, except landscape and naval",TX,3
230,"Architects, except landscape and naval",UT,3
231,Architectural and civil drafters,AL,3
232,Architectural and civil drafters,AZ,3
233,Architectural and civil drafters,FL,6
234,Architectural and civil drafters,IA,6
235,Architectural and civil drafters,IN,2
236,Architectural and civil drafters,KS,6
237,Architectural and civil drafters,MO,9
238,Architectural and civil drafters,MS,3
239,Architectural and civil drafters,NC,9
240,Architectural and civil drafters,ND,3
241,Architectural and civil drafters,NE,6
242,Architectural and civil drafters,NJ,2
243,Architectural and civil drafters,NY,3
244,Architectural and civil drafters,OH,9
245,Architectural and civil drafters,PA,3
246,Architectural and civil drafters,SC,3
247,Architectural and civil drafters,SD,3
248,Architectural and civil drafters,TN,6
249,Architectural and civil drafters,VA,6
250,Architectural and civil drafters,WI,8
251,Architectural and civil drafters,WV,3
252,Architectural and engineering managers,AK,6
253,Architectural and engineering managers,AL,9
254,Architectural and engineering managers,AR,11
255,Architectural and engineering managers,AZ,3
256,Architectural and engineering managers,CA,48
257,Architectural and engineering managers,CO,12
258,Architectural and engineering managers,CT,16
259,Architectural and engineering managers,FL,31
260,Architectural and engineering managers,GA,7
261,Architectural and engineering managers,HI,6
262,Architectural and engineering managers,IA,17
263,Architectural and engineering managers,IL,16
264,Architectural and engineering managers,IN,40
265,Architectural and engineering managers,KS,12
266,Architectural and engineering managers,KY,9
267,Architectural and engineering managers,LA,15
268,Architectural and engineering managers,MA,11
269,Architectural and engineering managers,ME,9
270,Architectural and engineering managers,MI,36
271,Architectural and engineering managers,MN,6
272,Architectural and engineering managers,MO,9
273,Architectural and engineering managers,MS,9
274,Architectural and engineering managers,MT,3
275,Architectural and engineering managers,NC,56
276,Architectural and engineering managers,ND,3
277,Architectural and engineering managers,NE,9
278,Architectural and engineering managers,NH,12
279,Architectural and engineering managers,NJ,6
280,Architectural and engineering managers,NM,8
281,Architectural and engineering managers,NV,9
282,Architectural and engineering managers,NY,29
283,Architectural and engineering managers,OH,42
284,Architectural and engineering managers,OK,9
285,Architectural and engineering managers,OR,6
286,Architectural and engineering managers,PA,47
287,Architectural and engineering managers,RI,6
288,Architectural and engineering managers,SC,25
289,Architectural and engineering managers,SD,3
290,Architectural and engineering managers,TN,15
291,Architectural and engineering managers,TX,11
292,Architectural and engineering managers,UT,6
293,Architectural and engineering managers,VA,18
294,Architectural and engineering managers,VT,6
295,Architectural and engineering managers,WA,3
296,Architectural and engineering managers,WI,30
297,Architectural and engineering managers,WV,3
298,Architectural and engineering managers,WY,3
299,Architecture and engineering occupations,AK,73
300,Architecture and engineering occupations,AL,205
301,Architecture and engineering occupations,AR,99
302,Architecture and engineering occupations,AZ,107
303,Architecture and engineering occupations,CA,374
304,Architecture and engineering occupations,CO,196
305,Architecture and engineering occupations,CT,89
306,Architecture and engineering occupations,DC,15
307,Architecture and engineering occupations,DE,14
308,Architecture and engineering occupations,FL,352
309,Architecture and engineering occupations,GA,286
310,Architecture and engineering occupations,HI,81
311,Architecture and engineering occupations,IA,195
312,Architecture and engineering occupations,ID,109
313,Architecture and engineering occupations,IL,162
314,Architecture and engineering occupations,IN,199
315,Architecture and engineering occupations,KS,107
316,Architecture and engineering occupations,KY,142
317,Architecture and engineering occupations,LA,148
318,Architecture and engineering occupations,MA,93
319,Architecture and engineering occupations,MD,90
320,Architecture and engineering occupations,ME,48
321,Architecture and engineering occupations,MI,292
322,Architecture and engineering occupations,MN,117
323,Architecture and engineering occupations,MO,178
324,Architecture and engineering occupations,MS,109
325,Architecture and engineering occupations,MT,93
326,Architecture and engineering occupations,NC,293
327,Architecture and engineering occupations,ND,107
328,Architecture and engineering occupations,NE,83
329,Architecture and engineering occupations,NH,48
330,Architecture and engineering occupations,NJ,40
331,Architecture and engineering occupations,NM,94
332,Architecture and engineering occupations,NV,67
333,Architecture and engineering occupations,NY,267
334,Architecture and engineering occupations,OH,276
335,Architecture and engineering occupations,OK,88
336,Architecture and engineering occupations,OR,187
337,Architecture and engineering occupations,PA,319
338,Architecture and engineering occupations,RI,24
339,Architecture and engineering occupations,SC,214
340,Architecture and engineering occupations,SD,92
341,Architecture and engineering occupations,TN,198
342,Architecture and engineering occupations,TX,307
343,Architecture and engineering occupations,UT,114
344,Architecture and engineering occupations,VA,251
345,Architecture and engineering occupations,VT,39
346,Architecture and engineering occupations,WA,211
347,Architecture and engineering occupations,WI,308
348,Architecture and engineering occupations,WV,133
349,Architecture and engineering occupations,WY,92
350,"Arts, design, entertainment, sports, and media occupations",AK,28
351,"Arts, design, entertainment, sports, and media occupations",AL,108
352,"Arts, design, entertainment, sports, and media occupations",AR,91
353,"Arts, design, entertainment, sports, and media occupations",AZ,101
354,"Arts, design, entertainment, sports, and media occupations",CA,219
355,"Arts, design, entertainment, sports, and media occupations",CO,146
356,"Arts, design, entertainment, sports, and media occupations",CT,97
357,"Arts, design, entertainment, sports, and media occupations",DC,6
358,"Arts, design, entertainment, sports, and media occupations",DE,7
359,"Arts, design, entertainment, sports, and media occupations",FL,244
360,"Arts, design, entertainment, sports, and media occupations",GA,139
361,"Arts, design, entertainment, sports, and media occupations",HI,30
362,"Arts, design, entertainment, sports, and media occupations",IA,114
363,"Arts, design, entertainment, sports, and media occupations",ID,72
364,"Arts, design, entertainment, sports, and media occupations",IL,131
