"Table 323.10. Master's degrees conferred by postsecondary institutions, by field of study: Selected years, 1970-71 through 2018-19",,,,,,,,,,,,,,,,,,
Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2005-06,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
   Total,"235,564","317,477","302,637","295,850","342,863","412,180","473,502","599,862","693,313","730,922","755,967","751,718","754,582","758,804","785,757","804,542","820,242","833,706"
Agriculture and natural resources\1\,"2,457","3,340","4,003","3,801","3,295","4,551","4,272","4,653","5,215","5,766","6,390","6,336","6,544","6,426","6,702","6,843","6,967","7,288"
Architecture and related services,"1,705","3,215","3,153","3,260","3,490","3,993","4,302","5,743","7,280","7,788","8,448","8,095","8,048","8,006","7,991","7,883","7,291","7,311"
"Area, ethnic, cultural, gender, and group studies","1,032",993,802,915,"1,233","1,652","1,555","2,080","1,775","1,913","1,947","1,897","1,844","1,847","1,767","1,717","1,675","1,590"
Biological and biomedical sciences,"5,625","6,457","5,766","5,064","4,834","6,593","7,017","8,783","10,730","11,324","12,419","13,300","13,964","14,655","15,717","16,282","17,180","18,090"
Business\2\,"26,490","42,592","57,888","66,676","78,255","93,554","115,602","146,396","177,748","187,178","191,606","188,617","189,364","185,236","186,835","187,412","192,191","197,089"
"Communication, journalism, and related programs ","1,770","2,961","2,896","3,500","4,123","5,080","5,218","7,106","7,630","8,302","9,005","8,760","9,353","9,581","9,676","10,119","10,241","10,463"
Communications technologies ,86,165,209,308,204,481,427,521,463,502,497,577,577,554,491,539,529,535
Computer and information sciences,"1,588","2,603","4,218","8,070","9,324","10,579","16,911","17,195","17,955","19,516","20,925","22,782","24,514","31,475","40,130","46,553","46,468","45,667"
Education,"87,666","126,061","96,713","74,816","87,352","104,936","127,829","174,622","182,165","185,127","179,047","164,652","154,655","146,581","145,792","145,624","146,368","146,432"
