Position Title,Company Name,Salary,city,State Name,Job Title
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Data Analyst,Other Agencies and Independent Organizations,87198.0,Washington,District of Columbia,Data Analyst
Health System Specialist (Data Analyst),Department of Veterans Affairs,59498.0,West Roxbury,Massachusetts,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,92723.0,Gallup,New Mexico,Data Analyst
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
"Computer Engineer, Computer Scientist, Electrical Engineer, or Electronics Engineer",Other Agencies and Independent Organizations,12253.0,Rockville,Maryland,
COMPUTER SCIENTIST/ENGINEER,Department of the Air Force,77488.0,Eglin AFB,Florida,
INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER/ELECTRONICS ENGINEER,Department of the Air Force,10260.0,Hanscom AFB,Massachusetts,
Interdisciplinary Computer Engineer / Computer Scientist,Legislative Branch,10840.0,Washington,District of Columbia,
"INTERDISCIPLINARY COMPUTER SCIENTIST, GENERAL ENGINEER, OPERATIONS RESEARACH ANALYST, PHYSICIST",Department of the Navy,87198.0,Patuxent River,Maryland,
Computer Scientist,Department of the Air Force,66829.0,No location provided,,
COMPUTER SCIENTIST,Department of the Navy,87198.0,Saint Inigoes,Maryland,
Computer Scientist,Department of the Air Force,50106.0,No location provided,,
Computer Scientist,Department of the Air Force,30414.0,No location provided,,
Computer Scientist,Department of the Treasury,11097.0,No location provided,,
COMPUTER SCIENTIST,Department of the Navy,87198.0,Stafford,Virginia,
