Position Title,Company Name,Salary,city,State Name,Job Title,Skills,Tools
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
Data Analyst,Other Agencies and Independent Organizations,$87198,Washington,District of Columbia,Data Analyst,"Data Visualization, Data Analysis ","SQL, Tableau "
Health System Specialist (Data Analyst),Department of Veterans Affairs,$59498,West Roxbury,Massachusetts,Data Analyst, , 
Supervisory Performance Improvement / Data Analyst,Department of Health And Human Services,$92723,Gallup,New Mexico,Data Analyst,"Data Collection, Statistics ",HTML 
