,Company Location,Unnamed: 1,Number of Openings
0,Washington, District of Columbia,1279
3,West Roxbury, Massachusetts,13
4,Alexandria, Virginia,135
7,Indianapolis, Indiana,55
10,Woodlawn, Maryland,17
11,Gallup, New Mexico,30
13,Quantico, Virginia,121
20,Phoenix, Arizona,46
21,Andrews AFB, Maryland,24
22,Whitehall, Ohio,22
23,Fort Meade, Maryland,80
24,Montgomery, Alabama,20
25,Washington DC, District of Columbia,37
27,Arlington, Virginia,140
31,Bethesda, Maryland,52
32,District of Columbia, District of Columbia,93
33,Key West, Florida,16
37,Baton Rouge, Louisiana,16
42,Wright-Patterson AFB, Ohio,32
47,Greenbelt, Maryland,25
48,Air Force Academy, Colorado,15
49,Fort Sam Houston, Texas,50
50,Fort Huachuca, Arizona,42
57,Naval Air Station Jacksonville, Florida,16
58,Norfolk, Virginia,15
62,Germantown, Maryland,15
64,Riyadh, Saudi Arabia,7
65,Walla Walla, Washington,48
70,Hanscom AFB, Massachusetts,19
71,Otis ANG Base, Massachusetts,12
72,Silver Spring, Maryland,61
73,College Park, Maryland,33
76,Cleveland, Ohio,50
77,Redstone Arsenal, Alabama,84
78,North Chicago, Illinois,21
79,Lincoln, Nebraska,15
80,Lakewood, Colorado,43
81,Latham, New York,7
82,Houston, Texas,34
83,Westhampton Beach, New York,14
84,Savannah, Georgia,22
85,Columbia, South Carolina,40
86,Augusta, Maine,15
88,Portland, Oregon,35
89,Coatesville, Pennsylvania,15
91,Port Alsworth, Alaska,7
94,Fort Gordon, Georgia,36
98,Fort Polk, Louisiana,18
99,Dallas, Texas,71
100,Dayton, Ohio,22
103,Pentagon, Arlington,128
105,Grafenwohr, Germany,18
106,Austin, Texas,35
107,Fort Belvoir, Virginia,85
110,Fort Detrick, Maryland,27
111,Fort Campbell, Kentucky,16
118,Fort Eustis, Virginia,25
119,Langley AFB, Virginia,26
120,San Diego, California,32
121,Seattle, Washington,43
123,Boulder City, Nevada,7
124,Scott AFB, Illinois,56
125,Rock Island, Illinois,22
126,Camp Shelby, Mississippi,7
128,Fort Irwin, California,49
133,Stuttgart, Germany,15
135,Waco, Texas,16
137,Columbus, Ohio,15
139,Fort McCoy, Wisconsin,27
142,Kuwait, Kuwait,9
146,New Orleans, Louisiana,55
149,Buckley AFB, Colorado,9
151,Baileys Crossroads, Virginia,16
156,Denver, Colorado,33
157,Smyrna, Tennessee,7
158,Warren, Michigan,32
161,Pittsburgh, Pennsylvania,36
162,Cincinnati, Ohio,25
163,Los Angeles, California,82
165,Charleston, South Carolina,16
166,Martinez, California,10
168,San Francisco, California,32
