Job Title,Category,Skills,Tools,Type,Salary
Senior Business Analyst - Land,Data Analyst, ,Scala ,Non-Government,
ISS-P Data Center Analyst,Data Analyst, , ,Non-Government,
Junior Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,"$32,000 - $39,500 a year"
Data Analyst (Louisiana),Data Analyst,Data Analysis ,Excel ,Non-Government,
Marketing Data Analyst,Data Analyst, , ,Non-Government,"$85,000 a year"
Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,
Entry Level Data Analyst,Data Analyst, ,Excel ,Non-Government,
Power BI/Data Analyst,Data Analyst,Statistics ,"SQL, Excel, Power BI, Tableau ",Non-Government,"$60,000 - $130,000 a year"
Junior Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,
Online Data Analyst - USA,Data Analyst, ,"Machine Learning, AI ",Non-Government,Up to $14.50 an hour
Online Data Analyst - USA,Data Analyst, ,"Machine Learning, AI ",Non-Government,Up to $14.50 an hour
Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,
Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,
Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,$43 - $75 an hour
Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,
Online Data Analyst - USA,Data Analyst, ,"Machine Learning, AI ",Non-Government,Up to $14.50 an hour
Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,$30 - $40 an hour
Junior Data Analyst/ Entry Level/ Bootcamp,Data Analyst,Data Mining ,SQL ,Non-Government,"$60,000 - $70,000 a year"
Business/Data Analyst (Entry Level)-Remote,Data Analyst, ,"SQL, Excel ",Non-Government,$30 an hour
Junior Data Analyst– Entry Level,Data Analyst,"Data Mining, Data Analysis ",SQL ,Non-Government,"$60,000 - $70,000 a year"
Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,
Data Analyst- Spring 2022,Data Analyst,Data Analysis ,"Python, Machine Learning ",Non-Government,
Data/visualization Analyst,Data Analyst, ,"Tableau, AI ",Non-Government,From $60 an hour
Data Analyst,Data Analyst,Data Analysis ,"SQL, Excel ",Non-Government,"$40,219 - $106,652 a year"
